"""","交通事故_発生件数(件)","交通事故_死者数(人)","交通事故_傷者数(人)","自動車_台  数(両)","自動車 1万台当たり_死者数(人)","自動車 1万台当たり_傷者数(人)","人口10万人当たり_死者数(人)","人口10万人当たり_傷者数(人)"
"  昭和40年(1965年)","6902.0","206.0","5637.0","100906.0","20.415039739956","558.6387330783106","20.1","549.0"
"","","","","","","","",""
"  昭和41年(1966年)","5458.0","212.0","6654.0","116560.0","18.188057652711052","570.8647906657516","20.6","646.0"
"  昭和42年(1967年)","6987.0","183.0","8739.0","136161.0","13.439971798091964","641.8137352105229","17.7","845.0"
"  昭和43年(1968年)","8140.0","189.0","10564.0","160846.0","11.750369919053007","656.7772900787089","18.2","1019.0"
"  昭和44年(1969年)","9995.0","230.0","13605.0","187886.0","12.241465569547492","724.109300320407","22.1","1308.0"
"  昭和45年(1970年)","10051.0","201.0","14058.0","212303.0","9.467600552041187","662.166808759179","19.3","1348.0"
"","","","","","","","",""
"  昭和46年(1971年)","10122.0","215.0","13978.0","236042.0","9.108548478660577","592.1827471382211","20.5","1334.0"
"  昭和47年(1972年)","9119.0","223.0","12597.0","262235.0","8.50382290693462","480.3706599042843","21.1","1194.0"
"  昭和48年(1973年)","8159.0","209.0","11280.0","286804.0","7.287206594050293","393.29995397553733","19.7","1063.0"
"  昭和49年(1974年)","6954.0","181.0","9443.0","299579.0","6.041812009520026","315.20900997733486","17.0","885.0"
"  昭和50年(1975年)","6678.0","140.0","9009.0","321200.0","4.358655043586551","280.4794520547945","13.1","840.0"
"","","","","","","","",""
"  昭和51年(1976年)","6625.0","119.0","8766.0","339335.0","3.5068590036394713","258.32879013364374","11.0","813.0"
"  昭和52年(1977年)","5744.0","117.0","7361.0","346513.0","3.3764966970936157","212.43070245560773","10.8","681.0"
"  昭和53年(1978年)","5845.0","97.0","7391.0","366157.0","2.649136845670027","201.8533033644038","8.9","681.0"
"  昭和54年(1979年)","5842.0","94.0","7358.0","386382.0","2.4328255457034746","190.43330175836348","8.6","677.0"
"  昭和55年(1980年)","6139.0","98.0","7837.0","403906.0","2.426307111060494","194.0302941773581","9.0","721.0"
"","","","","","","","",""
"  昭和56年(1981年)","6638.0","109.0","8356.0","421685.0","2.584867851595385","198.1573923663398","10.0","767.0"
"  昭和57年(1982年)","6994.0","79.0","8832.0","439512.0","1.7974480787782814","200.95014470594657","7.2","810.0"
"  昭和58年(1983年)","7242.0","112.0","9199.0","453116.0","2.471773232461445","203.0164461197574","10.3","844.0"
"  昭和59年(1984年)","6731.0","121.0","8404.0","468360.0","2.5834827910154585","179.43462293961912","11.1","772.0"
"  昭和60年(1985年)","6782.0","102.0","8526.0","480798.0","2.1214730510526247","177.33018856151648","9.4","784.0"
"","","","","","","","",""
"  昭和61年(1986年)","6683.0","97.0","8393.0","497296.0","1.9505485666484348","168.77272288536406","8.9","774.0"
"  昭和62年(1987年)","6575.0","106.0","8140.0","506971.0","2.0908493779723103","160.56145223296795","9.8","752.0"
"  昭和63年(1988年)","6496.0","141.0","8216.0","526277.0","2.6791974568525703","156.11550571277104","13.1","761.0"
"  平成元年(1989年)","6535.0","125.0","8264.0","554466.0","2.254421371193184","149.04430569232377","11.6","766.0"
"  平成 2年(1990年)","6387.0","117.0","8160.0","578195.0","2.0235387715217183","141.1288579112583","10.9","760.0"
"","","","","","","","",""
"  平成 3年(1991年)","6221.0","104.0","7873.0","592791.0","1.7544126007311176","132.81240774573163","9.7","733.0"
"  平成 4年(1992年)","6661.0","124.0","8317.0","610731.0","2.030353789147759","136.18106826082186","11.5","773.0"
"  平成 5年(1993年)","6661.0","132.0","8404.0","627458.0","2.103726464560178","133.937251576998","12.3","780.0"
"  平成 6年(1994年)","6848.0","119.0","8619.0","652065.0","1.8249714368966283","132.18007407237008","11.0","798.0"
"  平成 7年(1995年)","7552.0","118.0","9346.0","671721.0","1.7566817175583316","139.13514688389972","10.9","865.0"
"","","","","","","","",""
"  平成 8年(1996年)","7882.0","94.0","9622.0","690542.0","1.3612495691789928","139.33982292170498","8.7","891.0"
"  平成 9年(1997年)","7931.0","96.0","9650.0","702753.0","1.3660560680637437","137.31709434182423","8.9","894.0"
"  平成10年(1998年)","8250.0","97.0","10202.0","709663.0","1.3668459536427853","143.75837545426492","9.0","947.0"
"  平成11年(1999年)","8563.0","96.0","10422.0","717459.0","1.3380555543940489","145.26265612390392","8.9","970.0"
"  平成12年(2000年)","8946.0","100.0","10933.0","723368.0","1.3824222249256257","151.14022185111867","9.3","1022.0"
"","","","","","","","",""
"  平成13年(2001年)","9228.0","97.0","11433.0","727499.0","1.333335166096448","157.15485519567724","9.1","1072.0"
"  平成14年(2002年)","8797.0","90.0","10854.0","732235.0","1.2291136042390762","148.23110067123258","8.5","1022.0"
"  平成15年(2003年)","8531.0","74.0","10612.0","735267.0","1.0064371174008897","144.3285228359222","7.0","1005.0"
"  平成16年(2004年)","8529.0","89.0","10673.0","739912.0","1.2028457438181839","144.24688341316264","8.5","1016.0"
"  平成17年(2005年)","8376.0","71.0","10303.0","751083.0","1.0","137.2","6.9","994.0"
"","","","","","","","",""
"  平成18年(2006年)","8103.0","69.0","10006.0","754145.0","0.9","132.7","6.7","973.0"
"  平成19年(2007年)","7785.0","56.0","9625.0","750408.0","0.75","128.3","5.5","943.0"
"  平成20年(2008年)","7270.0","63.0","8843.0","747225.0","0.8","118.3","6.2","873.0"
"  平成21年(2009年)","7204.0","51.0","8912.0","744827.0","0.7","119.7","5.1","886.0"
"  平成22年(2010年)","6903.0","52.0","8577.0","745095.0","0.7","115.1","5.2","857.0"
"","","","","","","","",""
"  平成23年(2011年)","5942.0","54.0","7377.0","743871.0","0.7","99.2","5.4","742.0"
"  平成24年(2012年)","5410.0","50.0","6796.0","749184.0","0.7","90.7","5.1","688.0"
"  平成25年(2013年)","4752.0","47.0","5932.0","752864.0","0.6","78.8","4.8","606.0"
"  平成26年(2014年)","4115.0","39.0","5217.0","731568.0","0.5","71.3","4.0","537.0"
